Year,Month,Humidity
2015.0,11,83.46666666666667
2015.0,12,82.6
2016.0,1,84.13333333333334
2016.0,2,76.53333333333333
2016.0,3,80.6
2016.0,4,80.66666666666667
2016.0,5,79.66666666666667
2016.0,6,78.46666666666667
2016.0,7,80.53333333333333
2016.0,8,81.73333333333333
2016.0,9,83.13333333333334
2016.0,10,82.93333333333334
2016.0,11,82.4
2016.0,12,81.06666666666666
2017.0,1,82.26666666666667
2017.0,2,78.66666666666667
2017.0,3,81.6
2017.0,4,80.8
2017.0,5,81.0
2017.0,6,80.0
2017.0,7,83.46666666666667
2017.0,8,83.4
2017.0,9,83.66666666666667
2017.0,10,83.46666666666667
2017.0,11,83.2
2017.0,12,80.0
2018.0,1,82.6
2018.0,2,77.13333333333334
2018.0,3,80.2
2018.0,4,80.53333333333333
2018.0,5,80.26666666666667
2018.0,6,79.86666666666666
2018.0,7,81.66666666666667
2018.0,8,82.0
2018.0,9,81.93333333333334
2018.0,10,80.46666666666667
2018.0,11,81.6
2018.0,12,83.2
2019.0,1,82.26666666666667
2019.0,2,79.26666666666667
2019.0,3,81.0
2019.0,4,79.06666666666666
2019.0,5,79.8
2019.0,6,77.66666666666667
2019.0,7,79.0
2019.0,8,80.93333333333334
2019.0,9,80.33333333333333
2019.0,10,82.0
2019.0,11,81.26666666666667
2019.0,12,77.4
2020.0,1,80.26666666666667
2020.0,2,78.66666666666667
2020.0,3,80.46666666666667
2020.0,4,80.6
2020.0,5,78.53333333333333
2020.0,6,77.53333333333333
2020.0,7,79.06666666666666
2020.0,8,82.33333333333333
2020.0,9,82.66666666666667
2020.0,10,83.86666666666666
2020.0,11,80.93333333333334
2020.0,12,79.6
2021.0,1,77.06666666666666
2021.0,2,79.13333333333334
2021.0,3,80.66666666666667
2021.0,4,82.33333333333333
2021.0,5,79.66666666666667
2021.0,6,77.06666666666666
2021.0,7,79.2
2021.0,8,78.93333333333334
2021.0,9,84.4
2021.0,10,84.6
2021.0,11,82.53333333333333
2021.0,12,79.2
2022.0,1,82.66666666666667
2022.0,2,81.93333333333334
2022.0,3,82.8
2022.0,4,80.0
2022.0,5,81.8
2022.0,6,78.93333333333334
2022.0,7,80.86666666666666
2022.0,8,82.33333333333333
2022.0,9,83.26666666666667
2022.0,10,80.0
2022.0,11,82.33333333333333
2022.0,12,77.26666666666667
